True Draft Value,Predicted Draft Value,True Draft Position,Predicted Draft Position
19.8,14.542087,179.0,192.0
38.0,14.543334,136.0,192.0
220.0,14.541004,74.0,192.0
4.2,14.537429,218.0,192.0
56.0,14.543706,119.0,192.0
8.2,14.540739,208.0,192.0
560.0,14.543425,34.0,192.0
8.6,14.529314,207.0,192.0
9.4,14.47947,205.0,192.0
1250.0,14.542026,11.0,192.0
76.0,14.541921,109.0,192.0
66.0,14.543878,114.0,192.0
18.2,14.541112,183.0,192.0
200.0,14.54298,78.0,192.0
420.0,14.541207,48.0,192.0
460.0,14.544599,44.0,192.0
37.5,14.542199,137.0,192.0
15.0,14.544431,191.0,192.0
8.2,14.543344,208.0,192.0
14.2,14.542441,193.0,192.0
0.0,14.497899,300.0,192.0
450.0,14.542401,45.0,192.0
0.0,14.54149,300.0,192.0
38.0,14.540565,136.0,192.0
560.0,14.541281,34.0,192.0
480.0,14.5413065,42.0,192.0
0.0,14.542118,300.0,192.0
9.0,14.5420885,206.0,192.0
510.0,14.541362,39.0,192.0
8.6,14.545131,207.0,192.0
0.0,14.534762,300.0,192.0
28.6,14.520482,157.0,192.0
72.0,14.541755,111.0,192.0
330.0,14.54231,57.0,192.0
20.6,14.543097,177.0,192.0
5.0,14.545503,216.0,192.0
27.0,14.539787,161.0,192.0
27.4,14.542972,160.0,192.0
1500.0,14.545123,7.0,192.0
9.8,14.543615,204.0,192.0
16.2,14.543338,188.0,192.0
30.6,14.54473,152.0,192.0
4.6,14.54218,217.0,192.0
16.2,14.536011,188.0,192.0
1100.0,14.541751,14.0,192.0
560.0,14.541831,34.0,192.0
440.0,14.543208,46.0,192.0
92.0,14.543752,102.0,192.0
0.0,14.541552,300.0,192.0
0.0,14.5404215,300.0,192.0
0.0,14.528156,300.0,192.0
300.0,14.541873,60.0,192.0
32.6,14.486471,147.0,192.0
430.0,14.542146,47.0,192.0
1600.0,14.543103,6.0,192.0
300.0,14.542895,60.0,192.0
0.0,14.543302,300.0,192.0
82.0,14.543107,106.0,192.0
0.0,14.540622,300.0,192.0
360.0,14.543586,54.0,192.0
0.0,14.536234,300.0,192.0
255.0,14.541504,67.0,192.0
124.0,14.54185,94.0,192.0
0.0,14.542029,300.0,192.0
10.2,14.521527,203.0,192.0
320.0,14.542988,58.0,192.0
17.8,14.539131,184.0,192.0
35.0,14.500119,142.0,192.0
255.0,14.544993,67.0,192.0
25.4,14.515486,165.0,192.0
27.8,14.544256,159.0,192.0
590.0,14.543143,32.0,192.0
19.0,14.543469,181.0,192.0
21.8,14.532929,174.0,192.0
3000.0,14.544058,1.0,192.0
17.8,14.536941,184.0,192.0
165.0,14.542658,85.0,192.0
0.0,14.543655,300.0,192.0
740.0,14.542043,24.0,192.0
12.6,14.532913,197.0,192.0
24.6,14.542509,167.0,192.0
34.5,14.541074,143.0,192.0
18.6,14.528726,182.0,192.0
38.0,14.54164,136.0,192.0
180.0,14.541245,82.0,192.0
21.0,14.539643,176.0,192.0
104.0,14.542658,99.0,192.0
24.6,14.539949,167.0,192.0
18.2,14.543366,183.0,192.0
36.5,14.533673,139.0,192.0
0.0,14.541474,300.0,192.0
21.8,14.545355,174.0,192.0
38.5,14.522737,135.0,192.0
7.0,14.521252,211.0,192.0
0.0,14.542609,300.0,192.0
11.8,14.542695,199.0,192.0
33.0,14.542977,146.0,192.0
49.0,14.543538,123.0,192.0
0.0,14.539957,300.0,192.0
13.8,14.543671,194.0,192.0
25.8,14.542079,164.0,192.0
23.8,14.528022,169.0,192.0
13.0,14.5422945,196.0,192.0
1200.0,14.540383,12.0,192.0
42.0,14.537309,130.0,192.0
240.0,14.541177,70.0,192.0
200.0,14.542521,78.0,192.0
46.0,14.541083,126.0,192.0
112.0,14.542333,97.0,192.0
42.0,14.543418,130.0,192.0
760.0,14.53902,23.0,192.0
5.4,14.543286,215.0,192.0
9.4,14.543183,205.0,192.0
215.0,14.543345,75.0,192.0
26.6,14.534985,162.0,192.0
24.6,14.542751,167.0,192.0
0.0,14.52092,300.0,192.0
37.0,14.542029,138.0,192.0
29.8,14.538533,154.0,192.0
86.0,14.539777,104.0,192.0
27.8,14.542384,159.0,192.0
620.0,14.5425825,30.0,192.0
14.2,14.529851,193.0,192.0
480.0,14.54346,42.0,192.0
0.0,14.540473,300.0,192.0
19.8,14.540681,179.0,192.0
70.0,14.542699,112.0,192.0
620.0,14.544207,30.0,192.0
260.0,14.542846,66.0,192.0
780.0,14.541265,22.0,192.0
470.0,14.543544,43.0,192.0
6.6,14.527584,212.0,192.0
15.4,14.540269,190.0,192.0
240.0,14.541629,70.0,192.0
35.0,14.542525,142.0,192.0
4.2,14.534425,218.0,192.0
0.0,14.535497,300.0,192.0
0.0,14.541222,300.0,192.0
2200.0,14.542187,3.0,192.0
56.0,14.544208,119.0,192.0
50.0,14.542398,122.0,192.0
220.0,14.542272,74.0,192.0
1300.0,14.540779,10.0,192.0
430.0,14.538125,47.0,192.0
16.6,14.532646,187.0,192.0
170.0,14.544507,84.0,192.0
23.4,14.542108,170.0,192.0
600.0,14.543073,31.0,192.0
0.0,14.53508,300.0,192.0
0.0,14.541706,300.0,192.0
0.0,14.508012,300.0,192.0
370.0,14.53983,53.0,192.0
13.8,14.538697,194.0,192.0
720.0,14.542335,25.0,192.0
11.8,14.525153,199.0,192.0
3000.0,14.543291,1.0,192.0
0.0,14.49518,300.0,192.0
0.0,14.541448,300.0,192.0
0.0,14.541524,300.0,192.0
39.5,14.542389,133.0,192.0
16.6,14.532716,187.0,192.0
620.0,14.539163,30.0,192.0
0.0,14.54099,300.0,192.0
680.0,14.541776,27.0,192.0
74.0,14.541156,110.0,192.0
0.0,14.54423,300.0,192.0
0.0,14.543481,300.0,192.0
1050.0,14.53987,15.0,192.0
116.0,14.542529,96.0,192.0
4.6,14.51084,217.0,192.0
7.8,14.541427,209.0,192.0
88.0,14.537427,103.0,192.0
292.0,14.521415,61.0,192.0
22.6,14.535871,172.0,192.0
0.0,14.545325,300.0,192.0
2.6,14.539008,222.0,192.0
80.0,14.536265,107.0,192.0
5.8,14.543437,214.0,192.0
100.0,14.5438175,100.0,192.0
1800.0,14.541762,4.0,192.0
0.0,14.543837,300.0,192.0
